Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Jonhathan Vazquez,0.02702702702702703,3.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
2,Arturo Ortega,0.05405405405405406,5.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
3,Alan Daniel,0.08108108108108109,8.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
4,Frank Rojas,0.10810810810810811,11.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
5,Luis Duran,0.13513513513513514,14.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
6,ronald weasley,0.16216216216216217,16.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
7,Carlos Lobo,0.1891891891891892,19.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
8,Diego Fernando Martínez,0.21621621621621623,22.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
9,Harper Nardone,0.24324324324324326,24.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
10,Jose Miguel Jaime Magaña,0.2702702702702703,27.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
11,Ares marat Salas correa,0.2972972972972973,30.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
12,Hector Adrian Pio Robles Sanchez,0.32432432432432434,32.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
13,Ricardo V,0.35135135135135137,35.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
14,[Full name not set],0.3783783783783784,38.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
15,,0.40540540540540543,41.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
16,Eder F,0.43243243243243246,43.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
17,Alberto Bonsanto,0.4594594594594595,46.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
18,Hector Mario Acosta Rodriguez,0.4864864864864865,49.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
19,Erick Ruiz,0.5135135135135135,51.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
20,Javier Oros,0.5405405405405406,54.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
21,psyrax,0.5675675675675675,57.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
22,Juan Carlos M,0.5945945945945946,59.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
23,Busefaloking Nito,0.6216216216216216,62.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
24,Raul Rocha,0.6486486486486487,65.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
25,Rogelio Espinoza,0.6756756756756757,68.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
26,Jorge Roberto Chiñas López,0.7027027027027027,70.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
27,Néstor Iván Monroy,0.7297297297297297,73.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
28,Sebastian Granados,0.7567567567567568,76.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
29,Manlio Roberto Carlos Ugalde Campuzano,0.7837837837837838,78.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
30,Ian Sánchez,0.8108108108108109,81.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
31,,0.8378378378378378,84.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
32,Armando Ponce,0.8648648648648649,86.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
33,Alberto Cortes,0.8918918918918919,89.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
34,Punksullivan,0.918918918918919,92.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
35,Emiliano Huang,0.9459459459459459,95.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
36,Pablo Rayon,0.972972972972973,97.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
37,Enrique Cornejo,1.0,100.0,"October 09, 2024",24-10-002163,League Challenge,TCG League Challenge ZombieLamb Octubre 2024
