Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Rodolfo Hernandez,0.03333333333333333,3.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
2,Raúl Merino,0.06666666666666667,7.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
3,Jonathan Ferrusca,0.1,10.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
4,Ulises Garza,0.13333333333333333,13.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
5,Ricardo Nieto Hernandez,0.16666666666666666,17.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
6,Axl Corona,0.2,20.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
7,Daniel Vazquez,0.23333333333333334,23.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
8,URIEL GONZALEZ,0.26666666666666666,27.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
9,KingKobbu,0.3,30.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
10,Erik Ortega,0.3333333333333333,33.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
11,Diego Lezama,0.36666666666666664,37.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
12,Demian Palma,0.4,40.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
13,Rodrigo Torres Ochoa,0.43333333333333335,43.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
14,,0.4666666666666667,47.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
15,Oscar Vera,0.5,50.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
16,CRACKGERTO,0.5333333333333333,53.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
17,Emiliano Huang,0.5666666666666667,57.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
18,David Espinoza,0.6,60.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
19,Edgar Brito,0.6333333333333333,63.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
20,Brenda Cruz,0.6666666666666666,67.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
21,psyrax,0.7,70.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
22,Momo17TV,0.7333333333333333,73.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
23,Alexis Alfredo Lopez Gordillo,0.7666666666666667,77.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
24,Fernando S,0.8,80.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
25,Oscar Fernando Castro Rodríguez,0.8333333333333334,83.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
26,Luis Duran,0.8666666666666667,87.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
27,Anibal Cruz,0.9,90.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
28,Victor Meneses,0.9333333333333333,93.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
29,Ignacio Espinosa,0.9666666666666667,97.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
30,,1.0,100.0,"December 04, 2024",24-12-006898,League,LIGA POKEMON GAMESMART 04 DICIEMBRE 2024
