Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Alexander Licona,0.125,12.0,"September 10, 2024",24-09-012263,League,Pokemartes
2,Erick Ballesteros,0.25,25.0,"September 10, 2024",24-09-012263,League,Pokemartes
3,Kaoz200,0.375,38.0,"September 10, 2024",24-09-012263,League,Pokemartes
4,Alexis Alfredo Lopez Gordillo,0.5,50.0,"September 10, 2024",24-09-012263,League,Pokemartes
5,Metal220,0.625,62.0,"September 10, 2024",24-09-012263,League,Pokemartes
6,Rolando Coronado,0.75,75.0,"September 10, 2024",24-09-012263,League,Pokemartes
7,psyrax,0.875,88.0,"September 10, 2024",24-09-012263,League,Pokemartes
8,,1.0,100.0,"September 10, 2024",24-09-012263,League,Pokemartes
