Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Victor Meneses,0.0625,6.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
2,Alberto Bonsanto,0.125,12.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
3,Raúl Merino,0.1875,19.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
4,KingKobbu,0.25,25.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
5,Diego Martínez,0.3125,31.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
6,Aradia Garcia,0.375,38.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
7,Ruth M,0.4375,44.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
8,Alexis Alfredo Lopez Gordillo,0.5,50.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
9,CRACKGERTO,0.5625,56.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
10,Erik Ortega,0.625,62.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
11,Anibal Cruz,0.6875,69.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
12,Jonathan Ferrusca,0.75,75.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
13,psyrax,0.8125,81.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
14,Rodrigo Torres Ochoa,0.875,88.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
15,Jaret Salcedo,0.9375,94.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
16,Gabriel Magallanes,1.0,100.0,"November 20, 2024",24-11-012722,League,LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024
