Position,Name,pct_pos,rank,date,event
1,Erik Ortega,0.034482758620689655,3.0,"December 16, 2024",24-12-001891
2,Carlos Vazquez,0.06896551724137931,7.0,"December 16, 2024",24-12-001891
3,Cristian pringo,0.10344827586206896,10.0,"December 16, 2024",24-12-001891
4,Guillermo Rodriguez,0.13793103448275862,14.0,"December 16, 2024",24-12-001891
5,Irvin De Los RIos,0.1724137931034483,17.0,"December 16, 2024",24-12-001891
6,Sarahi De Jesus,0.20689655172413793,21.0,"December 16, 2024",24-12-001891
7,Paindro,0.2413793103448276,24.0,"December 16, 2024",24-12-001891
8,Jorge Roberto Chiñas López,0.27586206896551724,28.0,"December 16, 2024",24-12-001891
9,Juan angel Hernandez,0.3103448275862069,31.0,"December 16, 2024",24-12-001891
10,jesus israel hernandez morales,0.3448275862068966,34.0,"December 16, 2024",24-12-001891
11,Alberto Cortes,0.3793103448275862,38.0,"December 16, 2024",24-12-001891
12,Emmanuel Soria tapia,0.41379310344827586,41.0,"December 16, 2024",24-12-001891
13,Renato Corona,0.4482758620689655,45.0,"December 16, 2024",24-12-001891
14,Oscar Vera,0.4827586206896552,48.0,"December 16, 2024",24-12-001891
15,Ricardo V,0.5172413793103449,52.0,"December 16, 2024",24-12-001891
16,Victor Meneses,0.5517241379310345,55.0,"December 16, 2024",24-12-001891
17,Emiliano Huang,0.5862068965517241,59.0,"December 16, 2024",24-12-001891
18,Javier Ruiz,0.6206896551724138,62.0,"December 16, 2024",24-12-001891
19,Daiki Tokuhara,0.6551724137931034,66.0,"December 16, 2024",24-12-001891
20,Francisco G,0.6896551724137931,69.0,"December 16, 2024",24-12-001891
21,Netorewards,0.7241379310344828,72.0,"December 16, 2024",24-12-001891
22,Rodrigo Mejia,0.7586206896551724,76.0,"December 16, 2024",24-12-001891
23,sebastien perrier,0.7931034482758621,79.0,"December 16, 2024",24-12-001891
24,Ulises Rodrigo Leal Sanchez,0.8275862068965517,83.0,"December 16, 2024",24-12-001891
25,psyrax,0.8620689655172413,86.0,"December 16, 2024",24-12-001891
26,Jonathan Ferrusca,0.896551724137931,90.0,"December 16, 2024",24-12-001891
27,T JQ,0.9310344827586207,93.0,"December 16, 2024",24-12-001891
28,Manuel Bruno,0.9655172413793104,97.0,"December 16, 2024",24-12-001891
29,Manuel Fabela,1.0,100.0,"December 16, 2024",24-12-001891
