Position,Name,pct_pos,rank,date,event
1,salvador hernandez,0.038461538461538464,4.0,"February 01, 2025",25-02-002549
2,Erik Ortega,0.07692307692307693,8.0,"February 01, 2025",25-02-002549
3,Ricardo Nieto Hernandez,0.11538461538461539,12.0,"February 01, 2025",25-02-002549
4,Alberto Cortes,0.15384615384615385,15.0,"February 01, 2025",25-02-002549
5,Alberto Bonsanto,0.19230769230769232,19.0,"February 01, 2025",25-02-002549
6,ElNeneMalo_TCG,0.23076923076923078,23.0,"February 01, 2025",25-02-002549
7,Ivan Godoy,0.2692307692307692,27.0,"February 01, 2025",25-02-002549
8,joaquin gonzalez,0.3076923076923077,31.0,"February 01, 2025",25-02-002549
9,Carlos Vasquez,0.34615384615384615,35.0,"February 01, 2025",25-02-002549
10,psyrax,0.38461538461538464,38.0,"February 01, 2025",25-02-002549
11,Erasmo Rodriguez,0.4230769230769231,42.0,"February 01, 2025",25-02-002549
12,Daniel Paniagua,0.46153846153846156,46.0,"February 01, 2025",25-02-002549
13,Aldo Reyes,0.5,50.0,"February 01, 2025",25-02-002549
14,Salvador Ruiz de Esparza,0.5384615384615384,54.0,"February 01, 2025",25-02-002549
15,Rodolfo Hernandez,0.5769230769230769,58.0,"February 01, 2025",25-02-002549
16,Emiliano Huang,0.6153846153846154,62.0,"February 01, 2025",25-02-002549
17,Jorge Roberto Chiñas López,0.6538461538461539,65.0,"February 01, 2025",25-02-002549
18,,0.6923076923076923,69.0,"February 01, 2025",25-02-002549
19,Ivan B,0.7307692307692307,73.0,"February 01, 2025",25-02-002549
20,,0.7692307692307693,77.0,"February 01, 2025",25-02-002549
21,Oscar Vera,0.8076923076923077,81.0,"February 01, 2025",25-02-002549
22,Eduardo Barragán,0.8461538461538461,85.0,"February 01, 2025",25-02-002549
23,gibran solorio,0.8846153846153846,88.0,"February 01, 2025",25-02-002549
24,Sebastián Torres,0.9230769230769231,92.0,"February 01, 2025",25-02-002549
25,Manlio Roberto Carlos Ugalde Campuzano,0.9615384615384616,96.0,"February 01, 2025",25-02-002549
26,Rodrigo Torres Ochoa,1.0,100.0,"February 01, 2025",25-02-002549
