Position,Name,pct_pos,rank,date,event,event_type,event_name
1,DAustria,0.038461538461538464,4.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
2,Oscar Vera,0.07692307692307693,8.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
3,Mauricio Javier S,0.11538461538461539,12.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
4,jose manuel lopez,0.15384615384615385,15.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
5,Raul Méndez,0.19230769230769232,19.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
6,Rodrigo Salinas,0.23076923076923078,23.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
7,Salvador Castro,0.2692307692307692,27.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
8,Rodolfo Hernandez,0.3076923076923077,31.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
9,José Luis García Landa,0.34615384615384615,35.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
10,Erick DIAZ MEDRANO,0.38461538461538464,38.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
11,Alexis Alfredo Lopez Gordillo,0.4230769230769231,42.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
12,Ulises Garza,0.46153846153846156,46.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
13,manuel sanchez von roehrich,0.5,50.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
14,Axel Gonzalez,0.5384615384615384,54.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
15,Gerard A,0.5769230769230769,58.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
16,Victor Meneses,0.6153846153846154,62.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
17,Mary Paz Cuéllar Díaz,0.6538461538461539,65.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
18,Sebastián Torres,0.6923076923076923,69.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
19,Jesus Vigil,0.7307692307692307,73.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
20,PerritoSucioo_,0.7692307692307693,77.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
21,Ruth M,0.8076923076923077,81.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
22,psyrax,0.8461538461538461,85.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
23,Diego Cruz,0.8846153846153846,88.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
24,Aradia Garcia,0.9230769230769231,92.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
25,Angel Santacruz,0.9615384615384616,96.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
26,Ingrid Stanford,1.0,100.0,"January 22, 2025",25-01-010765,League,LIGA POKEMON GAMESMART 22 ENERO 2025
