Position,Name,pct_pos,rank,date,event,event_type,event_name
1,Andres Moran,0.037037037037037035,4.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
2,Eliud Cortez,0.07407407407407407,7.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
3,Ismael Mauricio Hernandez Bautista,0.1111111111111111,11.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
4,Daniel Zapata,0.14814814814814814,15.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
5,Arath Gomez,0.18518518518518517,19.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
6,Israel Garcia,0.2222222222222222,22.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
7,RivalX92,0.25925925925925924,26.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
8,David Herrera,0.2962962962962963,30.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
9,Jorge Reyes,0.3333333333333333,33.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
10,Ebetuel Rowers Aguilar Ventura,0.37037037037037035,37.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
11,Guillermo Barrios,0.4074074074074074,41.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
12,Salvador Villegas,0.4444444444444444,44.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
13,EdgarArturo159,0.48148148148148145,48.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
14,Aaron Cordova,0.5185185185185185,52.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
15,Cristian Cardozo,0.5555555555555556,56.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
16,psyrax,0.5925925925925926,59.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
17,Rodrigo Martin Lopez,0.6296296296296297,63.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
18,Marco Polo García Belmares,0.6666666666666666,67.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
19,Jesús Cervera,0.7037037037037037,70.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
20,Alfredo Hau,0.7407407407407407,74.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
21,,0.7777777777777778,78.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
22,Alejandro Ontiveros,0.8148148148148148,81.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
23,Marcos Alfredo Pasos Manzanero,0.8518518518518519,85.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
24,amirarcique,0.8888888888888888,89.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
25,Cesar Arturo Rubio Aguiar,0.9259259259259259,93.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
26,Arturo Ortega,0.9629629629629629,96.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
27,Erick Toledano,1.0,100.0,"February 10, 2025",25-02-005610,League,BATTLE STADIUM TCG 10 DE FEBRERO DE 2025
